date_hour,Tipo,total
2020-06-13 22,Original,401
2020-06-13 22,Cita,166
2020-06-13 22,Retweet,3162
2020-06-13 23,Retweet,2411
2020-06-13 23,Respuesta,182
2020-06-13 23,Cita,169
2020-06-13 23,Original,285
2020-06-14 00,Original,228
2020-06-14 00,Cita,111
2020-06-14 00,Respuesta,116
2020-06-14 00,Retweet,1590
2020-06-14 01,Original,173
2020-06-14 01,Cita,55
2020-06-14 01,Respuesta,88
2020-06-14 01,Retweet,1097
2020-06-14 02,Retweet,736
2020-06-14 02,Respuesta,50
2020-06-14 02,Original,138
2020-06-14 02,Cita,67
2020-06-14 03,Original,132
2020-06-14 03,Cita,36
2020-06-14 03,Respuesta,44
2020-06-14 03,Retweet,585
2020-06-14 04,Retweet,718
2020-06-14 04,Respuesta,54
2020-06-14 04,Cita,54
2020-06-14 04,Original,215
2020-06-14 05,Original,257
2020-06-14 05,Cita,69
2020-06-14 05,Respuesta,61
2020-06-14 05,Retweet,1235
2020-06-14 06,Respuesta,148
2020-06-14 06,Retweet,2200
2020-06-14 06,Original,555
2020-06-14 06,Cita,125
2020-06-14 07,Original,980
2020-06-14 07,Cita,254
2020-06-14 07,Respuesta,250
2020-06-14 07,Retweet,3724
2020-06-14 08,Retweet,5577
2020-06-14 08,Original,1127
2020-06-14 08,Cita,323
2020-06-14 08,Respuesta,391
2020-06-14 09,Respuesta,415
2020-06-14 09,Retweet,6581
2020-06-14 09,Original,1151
2020-06-14 09,Cita,489
2020-06-14 10,Respuesta,455
2020-06-14 10,Retweet,6114
2020-06-14 10,Original,1026
2020-06-14 10,Cita,381
2020-06-14 11,Original,982
2020-06-14 11,Cita,373
2020-06-14 11,Respuesta,391
2020-06-14 11,Retweet,5337
2020-06-14 12,Original,698
2020-06-14 12,Cita,338
2020-06-14 12,Respuesta,301
2020-06-14 12,Retweet,4656
2020-06-14 13,Retweet,4075
2020-06-14 13,Respuesta,281
2020-06-14 13,Original,569
2020-06-14 13,Cita,270
2020-06-14 14,Retweet,3498
2020-06-14 14,Original,527
2020-06-14 14,Cita,244
2020-06-14 14,Respuesta,214
2020-06-14 15,Retweet,3369
2020-06-14 15,Respuesta,222
2020-06-14 15,Original,576
2020-06-14 15,Cita,203
2020-06-14 16,Original,551
2020-06-14 16,Cita,195
2020-06-14 16,Respuesta,203
2020-06-14 16,Retweet,3209
2020-06-14 17,Retweet,3107
2020-06-14 17,Original,511
2020-06-14 17,Cita,197
2020-06-14 17,Respuesta,233
2020-06-14 18,Original,572
2020-06-14 18,Cita,241
2020-06-14 18,Respuesta,248
2020-06-14 18,Retweet,3315
2020-06-14 19,Respuesta,239
2020-06-14 19,Retweet,3201
2020-06-14 19,Original,516
2020-06-14 19,Cita,206
2020-06-14 20,Respuesta,244
2020-06-14 20,Retweet,3293
2020-06-14 20,Original,625
2020-06-14 20,Cita,191
2020-06-14 21,Retweet,3466
2020-06-14 21,Respuesta,259
2020-06-14 21,Original,403
2020-06-14 21,Cita,213
2020-06-14 22,Original,357
2020-06-14 22,Cita,211
2020-06-14 22,Respuesta,204
2020-06-14 22,Retweet,2892
2020-06-14 23,Respuesta,129
2020-06-14 23,Retweet,1800
2020-06-14 23,Original,277
2020-06-14 23,Cita,88
2020-06-15 00,Original,217
2020-06-15 00,Cita,94
2020-06-15 00,Respuesta,78
2020-06-15 00,Retweet,1187
2020-06-15 01,Original,235
2020-06-15 01,Cita,62
2020-06-15 01,Respuesta,73
2020-06-15 01,Retweet,767
2020-06-15 02,Retweet,636
2020-06-15 02,Respuesta,48
2020-06-15 02,Original,126
2020-06-15 02,Cita,46
2020-06-15 03,Original,137
2020-06-15 03,Cita,32
2020-06-15 03,Respuesta,31
2020-06-15 03,Retweet,572
2020-06-15 04,Respuesta,54
2020-06-15 04,Retweet,824
2020-06-15 04,Original,223
2020-06-15 04,Cita,39
2020-06-15 05,Original,452
2020-06-15 05,Cita,102
2020-06-15 05,Respuesta,105
2020-06-15 05,Retweet,1878
2020-06-15 06,Original,941
2020-06-15 06,Cita,196
2020-06-15 06,Respuesta,195
2020-06-15 06,Retweet,3283
2020-06-15 07,Respuesta,280
2020-06-15 07,Retweet,4072
2020-06-15 07,Cita,332
2020-06-15 07,Original,1330
2020-06-15 08,Original,1505
2020-06-15 08,Cita,521
2020-06-15 08,Respuesta,371
2020-06-15 08,Retweet,4563
2020-06-15 09,Original,1491
2020-06-15 09,Cita,636
2020-06-15 09,Respuesta,380
2020-06-15 09,Retweet,5138
2020-06-15 10,Respuesta,368
2020-06-15 10,Retweet,4510
2020-06-15 10,Original,1363
2020-06-15 10,Cita,508
2020-06-15 11,Original,1173
2020-06-15 11,Cita,420
2020-06-15 11,Respuesta,340
2020-06-15 11,Retweet,3874
2020-06-15 12,Retweet,3387
2020-06-15 12,Respuesta,290
2020-06-15 12,Cita,371
2020-06-15 12,Original,792
2020-06-15 13,Retweet,3187
2020-06-15 13,Respuesta,269
2020-06-15 13,Original,650
2020-06-15 13,Cita,300
2020-06-15 14,Original,677
2020-06-15 14,Cita,247
2020-06-15 14,Respuesta,252
2020-06-15 14,Retweet,2715
2020-06-15 15,Original,610
2020-06-15 15,Cita,185
2020-06-15 15,Respuesta,179
2020-06-15 15,Retweet,2214
2020-06-15 16,Retweet,2301
2020-06-15 16,Original,705
2020-06-15 16,Cita,211
2020-06-15 16,Respuesta,191
2020-06-15 17,Respuesta,211
2020-06-15 17,Retweet,2487
2020-06-15 17,Original,638
2020-06-15 17,Cita,190
2020-06-15 18,Retweet,2684
2020-06-15 18,Respuesta,217
2020-06-15 18,Original,604
2020-06-15 18,Cita,224
2020-06-15 19,Original,519
2020-06-15 19,Cita,207
2020-06-15 19,Respuesta,189
2020-06-15 19,Retweet,2878
2020-06-15 20,Original,601
2020-06-15 20,Cita,252
2020-06-15 20,Respuesta,238
2020-06-15 20,Retweet,3178
2020-06-15 21,Retweet,3261
2020-06-15 21,Respuesta,251
2020-06-15 21,Original,459
2020-06-15 21,Cita,306
2020-06-15 22,Original,191
2020-06-15 22,Cita,126
2020-06-15 22,Respuesta,122
2020-06-15 22,Retweet,1629
2020-06-15 23,Respuesta,94
2020-06-15 23,Retweet,1396
2020-06-15 23,Cita,117
2020-06-15 23,Original,243
2020-06-16 00,Original,77
2020-06-16 00,Cita,35
2020-06-16 00,Respuesta,24
2020-06-16 00,Retweet,386
2020-06-16 01,Original,64
2020-06-16 01,Cita,29
2020-06-16 01,Respuesta,45
2020-06-16 01,Retweet,339
2020-06-16 02,Retweet,309
2020-06-16 02,Original,59
2020-06-16 02,Cita,22
2020-06-16 02,Respuesta,25
2020-06-16 03,Cita,29
2020-06-16 03,Respuesta,35
2020-06-16 03,Original,85
2020-06-16 03,Retweet,375
2020-06-16 04,Retweet,925
2020-06-16 04,Respuesta,57
2020-06-16 04,Original,210
2020-06-16 04,Cita,49
2020-06-16 05,Original,462
2020-06-16 05,Cita,138
2020-06-16 05,Respuesta,117
2020-06-16 05,Retweet,2056
2020-06-16 06,Original,925
2020-06-16 06,Cita,273
2020-06-16 06,Respuesta,187
2020-06-16 06,Retweet,3333
2020-06-16 07,Retweet,4032
2020-06-16 07,Respuesta,276
2020-06-16 07,Original,1421
2020-06-16 07,Cita,388
2020-06-16 08,Original,1473
2020-06-16 08,Cita,439
2020-06-16 08,Respuesta,375
