day_week,hour,Tipo,total
Miércoles 17-06-2020,17,Retweet,2795
Miércoles 17-06-2020,18,Original,724
Miércoles 17-06-2020,18,Cita,242
Miércoles 17-06-2020,18,Respuesta,232
Miércoles 17-06-2020,18,Retweet,3074
Miércoles 17-06-2020,19,Original,643
Miércoles 17-06-2020,19,Cita,265
Miércoles 17-06-2020,19,Respuesta,232
Miércoles 17-06-2020,19,Retweet,3305
Miércoles 17-06-2020,20,Original,619
Miércoles 17-06-2020,20,Cita,270
Miércoles 17-06-2020,20,Respuesta,283
Miércoles 17-06-2020,20,Retweet,3773
Miércoles 17-06-2020,21,Original,552
Miércoles 17-06-2020,21,Cita,261
Miércoles 17-06-2020,21,Respuesta,231
Miércoles 17-06-2020,21,Retweet,3676
Sábado 13-06-2020,00,Original,241
Sábado 13-06-2020,00,Cita,187
Sábado 13-06-2020,00,Respuesta,102
Sábado 13-06-2020,00,Retweet,1713
Sábado 13-06-2020,01,Original,293
Sábado 13-06-2020,01,Cita,107
Sábado 13-06-2020,01,Respuesta,69
Sábado 13-06-2020,01,Retweet,1159
Sábado 13-06-2020,02,Original,123
Sábado 13-06-2020,02,Cita,55
Sábado 13-06-2020,02,Respuesta,57
Sábado 13-06-2020,02,Retweet,763
Sábado 13-06-2020,03,Original,126
Sábado 13-06-2020,03,Cita,48
Sábado 13-06-2020,03,Respuesta,63
Sábado 13-06-2020,03,Retweet,659
Sábado 13-06-2020,04,Original,145
Sábado 13-06-2020,04,Cita,47
Sábado 13-06-2020,04,Respuesta,47
Sábado 13-06-2020,04,Retweet,698
Sábado 13-06-2020,05,Original,262
Sábado 13-06-2020,05,Cita,93
Sábado 13-06-2020,05,Respuesta,92
Sábado 13-06-2020,05,Retweet,1257
Sábado 13-06-2020,06,Original,550
Sábado 13-06-2020,06,Cita,187
Sábado 13-06-2020,06,Respuesta,181
Sábado 13-06-2020,06,Retweet,2435
Sábado 13-06-2020,07,Original,921
Sábado 13-06-2020,07,Cita,279
Sábado 13-06-2020,07,Respuesta,294
Sábado 13-06-2020,07,Retweet,3726
Sábado 13-06-2020,08,Original,960
Sábado 13-06-2020,08,Cita,409
Sábado 13-06-2020,08,Respuesta,322
Sábado 13-06-2020,08,Retweet,4820
Sábado 13-06-2020,09,Original,1041
Sábado 13-06-2020,09,Cita,392
Sábado 13-06-2020,09,Respuesta,410
Sábado 13-06-2020,09,Retweet,5124
Sábado 13-06-2020,10,Original,997
Sábado 13-06-2020,10,Cita,1462
Sábado 13-06-2020,10,Respuesta,399
Sábado 13-06-2020,10,Retweet,6554
Sábado 13-06-2020,11,Original,833
Sábado 13-06-2020,11,Cita,964
Sábado 13-06-2020,11,Respuesta,318
Sábado 13-06-2020,11,Retweet,5674
Sábado 13-06-2020,12,Original,657
Sábado 13-06-2020,12,Cita,543
Sábado 13-06-2020,12,Respuesta,260
Sábado 13-06-2020,12,Retweet,4269
Sábado 13-06-2020,13,Original,487
Sábado 13-06-2020,13,Cita,373
Sábado 13-06-2020,13,Respuesta,260
Sábado 13-06-2020,13,Retweet,3858
Sábado 13-06-2020,14,Original,468
Sábado 13-06-2020,14,Cita,259
Sábado 13-06-2020,14,Respuesta,227
Sábado 13-06-2020,14,Retweet,3034
Sábado 13-06-2020,15,Original,522
Sábado 13-06-2020,15,Cita,212
Sábado 13-06-2020,15,Respuesta,198
Sábado 13-06-2020,15,Retweet,2780
Sábado 13-06-2020,16,Original,537
Sábado 13-06-2020,16,Cita,231
Sábado 13-06-2020,16,Respuesta,179
Sábado 13-06-2020,16,Retweet,2722
Sábado 13-06-2020,17,Original,480
Sábado 13-06-2020,17,Cita,205
Sábado 13-06-2020,17,Respuesta,188
Sábado 13-06-2020,17,Retweet,2842
Sábado 13-06-2020,18,Original,533
Sábado 13-06-2020,18,Cita,222
Sábado 13-06-2020,18,Respuesta,214
Sábado 13-06-2020,18,Retweet,2914
Sábado 13-06-2020,19,Original,579
Sábado 13-06-2020,19,Cita,291
Sábado 13-06-2020,19,Respuesta,264
Sábado 13-06-2020,19,Retweet,3472
Sábado 13-06-2020,20,Original,558
Sábado 13-06-2020,20,Cita,219
Sábado 13-06-2020,20,Respuesta,277
Sábado 13-06-2020,20,Retweet,3426
Sábado 13-06-2020,21,Original,526
Sábado 13-06-2020,21,Cita,218
Sábado 13-06-2020,21,Respuesta,284
Sábado 13-06-2020,21,Retweet,3560
Sábado 13-06-2020,22,Original,401
Sábado 13-06-2020,22,Cita,166
Sábado 13-06-2020,22,Respuesta,212
Sábado 13-06-2020,22,Retweet,3162
Sábado 13-06-2020,23,Original,285
Sábado 13-06-2020,23,Cita,169
Sábado 13-06-2020,23,Respuesta,182
Sábado 13-06-2020,23,Retweet,2411
Viernes 12-06-2020,00,Original,213
Viernes 12-06-2020,00,Cita,89
Viernes 12-06-2020,00,Respuesta,91
Viernes 12-06-2020,00,Retweet,1208
Viernes 12-06-2020,01,Original,164
Viernes 12-06-2020,01,Cita,62
Viernes 12-06-2020,01,Respuesta,80
Viernes 12-06-2020,01,Retweet,863
Viernes 12-06-2020,02,Original,174
Viernes 12-06-2020,02,Cita,65
Viernes 12-06-2020,02,Respuesta,67
Viernes 12-06-2020,02,Retweet,692
Viernes 12-06-2020,03,Original,131
Viernes 12-06-2020,03,Cita,46
Viernes 12-06-2020,03,Respuesta,47
Viernes 12-06-2020,03,Retweet,605
Viernes 12-06-2020,04,Original,204
Viernes 12-06-2020,04,Cita,73
Viernes 12-06-2020,04,Respuesta,72
Viernes 12-06-2020,04,Retweet,931
Viernes 12-06-2020,05,Original,505
Viernes 12-06-2020,05,Cita,145
Viernes 12-06-2020,05,Respuesta,112
Viernes 12-06-2020,05,Retweet,2011
Viernes 12-06-2020,06,Original,931
Viernes 12-06-2020,06,Cita,215
Viernes 12-06-2020,06,Respuesta,225
Viernes 12-06-2020,06,Retweet,3388
Viernes 12-06-2020,07,Original,1472
Viernes 12-06-2020,07,Cita,319
Viernes 12-06-2020,07,Respuesta,302
Viernes 12-06-2020,07,Retweet,3958
Viernes 12-06-2020,08,Original,1398
Viernes 12-06-2020,08,Cita,333
Viernes 12-06-2020,08,Respuesta,369
Viernes 12-06-2020,08,Retweet,4210
Viernes 12-06-2020,09,Original,1443
Viernes 12-06-2020,09,Cita,381
Viernes 12-06-2020,09,Respuesta,368
Viernes 12-06-2020,09,Retweet,4117
Viernes 12-06-2020,10,Original,1345
Viernes 12-06-2020,10,Cita,317
Viernes 12-06-2020,10,Respuesta,383
Viernes 12-06-2020,10,Retweet,3550
Viernes 12-06-2020,11,Original,1150
Viernes 12-06-2020,11,Cita,278
Viernes 12-06-2020,11,Respuesta,300
Viernes 12-06-2020,11,Retweet,3366
Viernes 12-06-2020,12,Original,874
Viernes 12-06-2020,12,Cita,264
Viernes 12-06-2020,12,Respuesta,258
Viernes 12-06-2020,12,Retweet,2875
Viernes 12-06-2020,13,Original,704
Viernes 12-06-2020,13,Cita,242
Viernes 12-06-2020,13,Respuesta,258
Viernes 12-06-2020,13,Retweet,2830
Viernes 12-06-2020,14,Original,672
Viernes 12-06-2020,14,Cita,212
Viernes 12-06-2020,14,Respuesta,254
Viernes 12-06-2020,14,Retweet,2642
Viernes 12-06-2020,15,Original,657
Viernes 12-06-2020,15,Cita,183
Viernes 12-06-2020,15,Respuesta,226
Viernes 12-06-2020,15,Retweet,2577
Viernes 12-06-2020,16,Original,629
Viernes 12-06-2020,16,Cita,220
Viernes 12-06-2020,16,Respuesta,230
Viernes 12-06-2020,16,Retweet,2376
Viernes 12-06-2020,17,Original,632
Viernes 12-06-2020,17,Cita,200
Viernes 12-06-2020,17,Respuesta,199
Viernes 12-06-2020,17,Retweet,2320
Viernes 12-06-2020,18,Original,596
Viernes 12-06-2020,18,Cita,188
Viernes 12-06-2020,18,Respuesta,216
Viernes 12-06-2020,18,Retweet,2494
Viernes 12-06-2020,19,Original,571
Viernes 12-06-2020,19,Cita,149
Viernes 12-06-2020,19,Respuesta,201
Viernes 12-06-2020,19,Retweet,2380
Viernes 12-06-2020,20,Original,513
Viernes 12-06-2020,20,Cita,364
Viernes 12-06-2020,20,Respuesta,204
Viernes 12-06-2020,20,Retweet,2852
Viernes 12-06-2020,21,Original,369
Viernes 12-06-2020,21,Cita,1016
Viernes 12-06-2020,21,Respuesta,198
Viernes 12-06-2020,21,Retweet,4198
Viernes 12-06-2020,22,Original,366
Viernes 12-06-2020,22,Cita,491
Viernes 12-06-2020,22,Respuesta,204
Viernes 12-06-2020,22,Retweet,3606
Viernes 12-06-2020,23,Original,342
Viernes 12-06-2020,23,Cita,344
Viernes 12-06-2020,23,Respuesta,159
Viernes 12-06-2020,23,Retweet,2822
