created_at,id,complete_text
2020-06-13 08:04:13+00:00,1271714981260779520,m han regalado una mascarilla fucsia lloro
2020-06-13 08:04:58+00:00,1271715170012848128,No Miley no 🥺
2020-06-13 08:05:45+00:00,1271715365127675904,"Creo que lo más flipante que he visto en mi vida es ese convencimiento de que un gobierno con plenos poderes durante un estado de alarma de tres meses no tiene la menor responsabilidad en la gestión de la pandemia. 

Semejante acto de fe no lo vi ni en el procés."
2020-06-13 08:06:17+00:00,1271715500377231364,"Carmen 91a, justo al inicio de la epidemia le dije:
-Cuídese mucho ehhh.
-Lo haré doctor, me contestó.
Ayer la volví a ver en el hospital.
-Hola Dr, aquí estoy viva y con ganas de seguir luchando 20 años más.
Carmen vive en una residencia de ancianos de mi ciudad."
2020-06-13 08:07:16+00:00,1271715748814163970,"🟢 «Una Iglesia 10 historias»🟢
2⃣ Las monjas capuchinas de Santa Rosaría en @Archisevilla1... que fabrican mascarillas desde su «confinamiento voluntario»

#10de10 #quedan8 #iglesia24siete

👉@prensaCEE
👉@COPE
👉@ecclesiadigital
👉@TRECE_es 

https://t.co/906pNQ7LjY https://t.co/Vttxz2XdmY"
2020-06-13 08:08:02+00:00,1271715943157305344,"@rafabravo @change_es @JoseLuisQ Pues yo abogo por muchos centros de salud, mejor dotados de medios y profesionales, que no estén siempre al límite incapaces de responder a incrementos estacionales de demanda, y no digamos a una pandemia. Y también más medios para salud pública y atención a residencias"
2020-06-13 08:08:22+00:00,1271716027014033408,La religión es una droga. Y todas pasan factura
2020-06-13 08:10:00+00:00,1271716435564343296,"La Comunidad recopilará los testimonios de los madrileños durante la pandemia en ‘Memorias del COVID-19’

#Madrid #MemoriasdelCOVID19 #CoronavirusMadrid #COVID19 #GMG https://t.co/rYvurxdmde"
2020-06-13 08:10:12+00:00,1271716487695302656,Iniciamos el rezo del santo Rosario en el blog https://t.co/7HX7KR3wu1 a través de https://t.co/TdgwdddFk9 Para que cada día seamos capaces de abrirnos y dejarnos amar un poco más por nuestro Padre del Cielo tal y como nos ha enseñado Jesús. Pedimos la erradicación del covid19.
2020-06-13 08:10:21+00:00,1271716526043926528,"INTERESANTE.
¿Habrá una segunda oleada de COVID-19 en otoño?
Comparación con gripe de 1918/19 y la posibilidad de que mute a peor o mejor.

Segunda oleada es muy probable, pero no como la segunda oleada de la gripe ""española"".
https://t.co/Ox8kUoJGzL
#CORONAVIRUS"
2020-06-13 08:10:50+00:00,1271716647456423936,"Lean el especial de @JotDownSpain, consagrado al WTF. La creadora de ‘Fleabag’, la tensegridad arquitectónica, los superpropagadores del virus, un volcán de murciélagos y el noble arte del spoiler, entre otros muchos temas.  
OMG

https://t.co/DdEao1Wx1Y"
2020-06-13 08:12:17+00:00,1271717010356002819,@EFEnoticias Supongo que por el covid el examen fue online.
2020-06-13 08:12:36+00:00,1271717092761485322,Demasiadas cosas surrealistas srry
2020-06-13 08:12:58+00:00,1271717183580778496,"Los comentarios Juan, los comentarios ajajjaja"
2020-06-13 08:13:07+00:00,1271717220914270219,"Cristo Eucaristía se acerca a nosotros para que podamos tener un rato de oración con Él.

Como hermanos que somos, unidos en oración por las víctimas, enfermos, afectados por la pandemia del coronavirus y por todos aquellos que luchan por el fin de la misma."
2020-06-13 08:14:20+00:00,1271717528700702720,"@MonSuarezTv Situaciones 2020
Volcanes ✔️
Pandemia ✔️
Meteorito ✔️
Conflicto sociales ✔️
Meteorología ✔️
Crisis económica ✔️
Invasión alien ✖️
👽👾👽👾👽👾 Ya sabemos lo que nos falta para el completo del año, prepárense 🤣🤣🤣🤣 https://t.co/xVqbSAuhhz"
2020-06-13 08:15:00+00:00,1271717693662679040,".@CSSes introduce nuevas funcionalidades para que el #taller pueda agilizar los flujos de reparación en la época Post COVID19.
https://t.co/NeHpoydL36"
2020-06-13 08:15:09+00:00,1271717731625304064,"Donar tu sangre salva vidas, donarla con el coronavirus es más necesario que nunca
https://t.co/GinvxOr0vR https://t.co/xdv9Kos3gt"
2020-06-13 08:15:47+00:00,1271717893387038720,¡Totalmente de acuerdo!
2020-06-13 08:16:00+00:00,1271717945391996934,"#Cádiz | El #alquiler en la #costa se dispara: veranear en un apartamento en el litoral será un 10% más caro tras la pandemia.

Sotogrande es el punto más exclusivo: unos 6.000€ / mes 🏖️ https://t.co/WeyHE7q3FY @lavozdelsures #CostasTecniTasa #InformeTecniTasa

📸 @CarleteToro https://t.co/DbISQ0jUQ8"
2020-06-13 08:17:29+00:00,1271718319326986240,"La funcionalidad del Sepe esta pandemia ha sido un pandemonium.  4mil zaragozanos, 20mil en Aragón sin cobrar sus ERTE y sin posibilidad de arreglarlo por teléfono o Internet. La normalidad implica poder solucionar sus problemas. Si tienen miedo, que pongan seguridad."
2020-06-13 08:18:10+00:00,1271718492648230915,"Sector mediático tras la pandemia. @iescolar anuncia un acuerdo de colaboración entre @eldiarioes e @_infoLibre. Sin fusión, ni nada parecido. De momento."
2020-06-13 08:18:49+00:00,1271718656179920897,Luchar contra la pandemia como nuevo eufemismo de beneficiar al grupo GAVIA.
2020-06-13 08:19:57+00:00,1271718940239171590,MAPA estudia dar ayudas a otros sectores afectados por la crisis del Covid-19 como el ibérico https://t.co/thBRKmvMjO vía @infoiberico
